sentence_id	chinese	tailo	poj	出處			
91	做業務的就是愛會曉佮人盤撋。	Tsò gia̍p-bū--ê tō sī ài ē-hiáu kah lâng puânn-nuá.		教育部辭典			
92	伊一直喃講欲搬去庄跤蹛。	I it-ti̍t nauh kóng beh puann-khì tsng-kha tuà.		教育部辭典			
93	電話當咧喨。	Tiān-uē tng teh liang.		教育部辭典			
94	𪜶老爸聽著好消息，笑甲喙仔裂獅獅。	In lāu-pē thiann-tio̍h hó siau-sit, tshiò kah tshuì-á li̍h-sai-sai.		教育部辭典			
95	你的手指頭仔有幾个腡？	Lí ê tshiú-tsíng-thâu-á ū kuí ê lê?		教育部辭典			
96	外地的朋友來相揣，我𤆬伊出去附近四界蹓蹓咧	Guā-tē ê pîng-iú lâi sio-tshuē, guá tshuā i tshut-khì hù-kīn sì-kè lau-lau--leh.		教育部辭典			
97	伊頭殼去挵著桌角煞腫一癗。	I thâu-khak khì lòng-tio̍h toh-kak suah tsíng tsi̍t luî.		教育部辭典			
98	我揣無路，一直佇這搭踅玲瑯。	Guá tshuē-bô lōo, it-ti̍t tī tsit-tah se̍h-lin-long.		教育部辭典			
99	有囡仔佇身軀邊經跤經手欲哪做有工課？	Ū gín-á tī sin-khu-pinn kenn-kha-kenn-tshiú beh ná tsò ū khang-khuè?		教育部辭典			
100	老人驚跋倒，毋好𬦰山崎。	Lāu-lâng kiann pua̍h-tó, m̄-hó peh suann-kiā.		教育部辭典			
101	伊這个人禁忌特別濟。	I tsit ê lâng kìm-khī ti̍k-pia̍t tsē.		教育部辭典			
102	伊喙邊有一粒愛食痣。	I tshuì-pinn ū tsi̍t lia̍p ài-tsia̍h-kì.		教育部辭典			
103	我是艱苦人出身。	Guá sī kan-khóo-lâng tshut-sin.		教育部辭典			
104	煮麻油雞一定愛先用薑母落去炒。	Tsú muâ-iû-ke it-tīng ài sing īng kiunn-bó lo̍h-khì tshá.		教育部辭典			
105	彼个人傷苛頭，我無想欲佮伊交陪。	Hit ê lâng siunn khô-thâu, guá bô siūnn-beh kah i kau-puê.		教育部辭典			
106	物件予人勍去矣！	Mi̍h-kiānn hōo lâng khiang--khì--ah!		教育部辭典			
107	這堵壁缺兩隙。	Tsit tóo piah khih nn̄g khiah.		教育部辭典			
108	阿榮伯上過謙，對人有夠客氣。	A-îng peh siōng kòo-khiam, tuì lâng ū-kàu kheh-khì.		教育部辭典			
109	兩角找五分，覺悟。這是一句孽譎仔話。	Nn̄g kak tsāu gōo hun, kak-ngōo. Tse sī tsi̍t kù gia̍t-khiat-á-uē.		教育部辭典			
110	遮四箍圍仔攏是塗沙。	Tsia sì-khoo-uî-á lóng sī thôo-sua.		教育部辭典			
111	阮阿媽雖然毋捌字，毋過伊講出喙的話攏是金言玉語。	Guán a-má sui-jiân m̄ bat-jī, m̄-koh i kóng tshut-tshuì ê uē lóng sī kim-giân-gio̍k-gí.		教育部辭典			
112	樹仔跤的樹葉仔無偌濟，用鋏仔鋏鋏咧就會用得矣。	Tshiū-á-kha ê tshiū-hio̍h-á bô guā-tsē, iōng giap-á giap-giap--leh tō ē-īng--tit--ah. 		教育部辭典			
113	伊共錢扲牢牢。	I kā tsînn gīm-tiâu-tiâu.		教育部辭典			
114	你閣佇遐齴牙，早慢會去予人推。	Lí koh tī hia giàng-gê, tsá-bān ē khì hōo lâng thui.		教育部辭典			
115	你毋通誤解我的意思。	Lí m̄-thang gōo-kái guá ê ì-sù.		教育部辭典			
116	伊上驚人共伊擽呧。	I siōng kiann lâng kā i ngiau-ti.		教育部辭典			
117	我看著蟲蟯蟯趖會起雞母皮。	Guá khuànn-tio̍h thâng ngia̍uh-ngia̍uh-sô ē khí-ke-bó-phuê.		教育部辭典			
118	伊的穿插誠雅氣。	I ê tshīng-tshah tsiânn ngá-khì.		教育部辭典			
119	你的觀念已經落伍矣。	Lí ê kuan-liām í-king lo̍k-ngóo--ah.		教育部辭典			
120	你莫見擺攏欲佮人夯硬篙，較袂顧人怨。	Lí mài kiàn-pái lóng beh kah lâng giâ-ngē-ko, khah bē kòo-lâng-uàn.		教育部辭典			
121	彼箍講的話我攏無咧共𫝺。	Hit khoo kóng ê uē guá lóng bô teh kā hiù.		教育部辭典			
122	伊向時咧教冊。	I hiàng-sî teh kà-tsheh.		教育部辭典			
123	這个人是火烌性，較會得失人。	Tsit ê lâng sī hué-hu-sìng, khah ē tik-sit--lâng.		教育部辭典			
124	謼，好啦，你講的準算。	Hooh, hó--lah, lí kóng--ê tsún-sǹg.		教育部辭典			
125	恁爸母生甲你這个孝尾囝，有夠了然。	Lín pē-bú senn kah lí tsit ê hà-bué-kiánn, ū-kàu liáu-jiân.		教育部辭典			
126	皮皮食甲流糍。	Phî-phî tsia̍h kah lâu-tsî.		教育部辭典			
127	惡毒老爸，竟然共家己的囝蹔甲跤骨斷去。	Ok-to̍k lāu-pē, kìng-jiân kā ka-kī ê kiánn tsàm kah kha-kut tn̄g--khì.		教育部辭典			
128	這向搢風真歹行。	Tsit hiòng tsìnn-hong tsin pháinn kiânn.		教育部辭典			
129	阮規家伙仔不時都來共你齪嘈，實在真歹勢。	Guán kui-ke-hué-á put-sî to lâi kā lí tsak-tsō, si̍t-tsāi tsin pháinn-sè.		教育部辭典			
130	伊有夠實頭，袂曉變竅。	I ū-kàu tsa̍t-thâu, bē-hiáu piàn-khiàu		教育部辭典			
131	鼻仔都擤甲紅絳絳矣你閣一直擤鼻。	Phīnn-á to tshìng kah âng-kòng-kòng--ah lí koh it-ti̍t tshìng-phīnn.		教育部辭典			
132	我毋知予啥物扦著，砧砧足艱苦的。	Guá m̄ tsai hōo siánn-mih tshuann--tio̍h, tiam-tiam tsiok kan-khóo--ê.		教育部辭典			
133	下暗哪會煮甲遮爾仔腥臊？	E-àm ná ē tsú kah tsiah-nī-á tshenn-tshau?		教育部辭典			
134	伊目睭眵眵看無明。	I ba̍k-tsiu tshuh-tshuh khuànn bô bîng.		教育部辭典			
135	我都照實講爾爾，欲哪會知影伊聽了煞起慼。	Guá to tsiàu-si̍t kóng niā-niā, beh ná ē tsai-iánn i thiann-liáu suah khí-tsheh.		教育部辭典			
136	爸母無捨施，送囝去學戲。	Pē-bú bô-siá-sì, sàng kiánn khì o̍h hì.		教育部辭典			
137	這款貴參參的物件你曷買會落去！	Tsit khuán kuì-som-som ê mi̍h-kiānn lí a̍h bé ē lo̍h--khì!		教育部辭典			
138	彼个囡仔真寶惜𪜶阿母留予伊的相片。	Hit ê gín-á tsin pó-sioh in a-bú lâu hōo i ê siòng-phìnn.		教育部辭典			
139	看毋是勢，趕緊疏開。	Khuànn m̄-sī-sè, kuánn-kín soo-khai.		教育部辭典			
140	伊哭甲目屎四淋垂。	I khàu kah ba̍k-sái sì-lâm-suî.		教育部辭典			
141	尿桶有足濟尿滓，毋就摖摖咧。	Jiō-tháng ū tsiok tsē jiō-tái, m̄-tō tshè-tshè--leh		教育部辭典			
142	這塊豬母肉韌布布，毋但僫哺閣強欲吞袂落去。	Tsit tè ti-bó-bah jūn-pòo-pòo, m̄-nā oh pōo koh kiōng-beh thun bē lo̍h-khì.		教育部辭典			
143	代誌已經公開矣！按怎遮瞞嘛無效。	Tāi-tsì í-king kong-khai--ah! Án-tsuánn jia-muâ mā bô-hāu.		教育部辭典			
144	恁共厝內舞甲挐絞絞。	Lín kā tshù-lāi bú kah jû-ká-ká.		教育部辭典			
145	伊佇房間看冊，你莫去共伊攪擾。	I tī pâng-king khuànn tsheh, lí mài khì kā i kiáu-jiáu.		教育部辭典			
146	阿禮部落真少人知影。		A-lé Pō͘-lo̍k chin-chió lâng chai-iáⁿ.	民報-臺語世界			
147	安排去屏東縣霧台鄉𨑨迌。		An-pâi khì Pîn-tong-koān Bū-tâi-hiong chhit-thô. 	民報-臺語世界			
148	我是一个國中生，國中生的生活就是一直讀冊。		Góa sī chi̍t-ê kok-tiong-seng. Kok-tiong-seng ê seng-oa̍h tō sī it-ti̍t tha̍k-chheh.	民報-臺語世界			
149	根據媽媽的講法，外媽是鹽水人。		Kin-kì ma-ma ê kóng-hoat, gōa-má sī Kiâm-chúi-lâng.	民報-臺語世界			
150	老師派一項「口述歷史」的作業，請阮訪問一位序大。		Liāu-su phài chi̍t-hāng “kháu-su̍t-le̍k-sú“ ê chok-gia̍p, chhiáⁿ gún hóng-mn̄g chi̍t-ūi sī-tōa.	民報-臺語世界			
151	煮一大坩麻油羊肉米糕予阮做伴手禮。		Chú chi̍t-tōa-khaⁿ môa-iû iûⁿ-bah bí-ko hō͘ goán chò phōaⁿ-chhiú-lé.	民報-臺語世界			
152	外媽嘛捌去日本讀助產士的課程。毋過結婚後就佇厝內扞家顧囡仔。		Gōa-má mā bat khì Ji̍t-pún tha̍k chō͘-sán-sū ê khò-thêng. M̄-koh kiat-hun-āu tiō tī chhù-lāi hōaⁿ-ke kò͘ gín-á.	民報-臺語世界			
153	是按怎當的山盟海誓結婚了後袂堪咧時間考驗？		Sī án-chóaⁿ tong-chho͘ ê san-bêng hái-sè kiat-hun liáu-āu bē-kham-leh sî-kan khó-giām?	民報-臺語世界			
154	這種表面退一步的輸，窮實是減少衝突。		Chit-chióng piáu-bīn thè chi̍t-pō͘ ê su, khêng-si̍t sī kiám-chió chhiong-tu̍t.	民報-臺語世界			
155	這款糖甘甜的愛情強度會佇花無百日紅的現實沓沓仔消退。		Chit-khóaⁿ thn̂g-kam-tiⁿ ê ài-chêng kiông-tō͘ ē tī hoe bô pah-ji̍t-âng ê hiān-si̍t ta̍uh-ta̍uh-á siau-thè.	民報-臺語世界			
156	伊所歡喜的，是上主的律法；暝日三思的，嘛是祂的律法。		"I só͘ hoaⁿ-hí ê, sī Siōng-chú ê lu̍t-hoat; mê-ji̍t sàm-su ê, mā sī I ê lu̍t-hoat."	舊約聖經			
157	星象家轉去了後，主的天使共約瑟分託夢。		Chheⁿ-siōng-ka tńg-khì liáu-āu, Chú ê thiⁿ-sài kā Iô-sé-huh thok-bāng.	新約聖經			
158	伊宣揚講：「恁著悔改，因為天國咧欲到矣。」		"I soan-iông kóng, ""Lín tio̍h hóe-kái, in-ūi thian-kok teh beh kàu à."""	新約聖經			
159	祢若仆落來拜我，遮的一切我攏欲予祢。		Lí nā phak lo̍h-lâi pài góa, chiahê it-chhè góa lóng beh hō͘ Lí. 	新約聖經			
160	這是耶穌基督的家譜。	Tse sī Iâ-soo Ki-tok ê Ka-phóo.	Che sī I-é-su Ki-tok ê Ka-phó͘	新約聖經			
161	為著罪過憂傷的人實在有福氣，因為上帝會共𪜶安慰！		Ūi tio̍h chōe-kò iu-siong ê lâng si̍t-chāi ū hok-khì, in-ūi Siōng-tè ē kā in an-ùi!	新約聖經			
162	亞洲佇北半球。	A-tsiu tī pak-puànn-kiû.	A-chiu tī pak pòaⁿ kiû.	白話字書-地理教科書			
163	四百年前歐洲的百姓攏毋知有南北美洲。	sì pah nî tsîng Au-tsiu ê peh-sìnn lóng m̄ tsai ū Lâm Pak Bí-tsiu.	sì pah nî chêng Au-lô-pa ê peh-sìⁿ lóng m̄ chai ū Lâm Pak A-bí-lí-ka.	白話字書-地理教科書			
164	咱已經知地球分做兩半。	Lan i-king tsai tuē-kiû pun tsuè nn̄g puànn.	Lan i-keng chai tōe-kiû pun chòe nn̄g pòaⁿ.	白話字書-地理教科書			
165	東半球四周叫做舊世。	Tang-puànn-kiû sì tsiu kiò tsuè Kū-sè.	Tang-pòaⁿ-kiû sì chiu kiò chòe Kū-sè.	白話字書-地理教科書			
166	經過這十一日了後伊到一个毋捌到的地。	King kè tsit tsa̍p-i̍t ji̍t liáu-āu i kàu tsi̍t ê m̄ bat kàu ê tuē.	Keng kè chit cha̍p i̍t ji̍t liáu-āu i kàu chi̍t ê m̄ bat kàu ê tōe.	白話字書-地理教科書			
167	古巴是做西印度海嶼第一大。	Koo-pa sī tsuè Se-ìn-too hái-sū tē it tuā.	Ko͘-pa sī chòe sai Ìn-to͘ hái-sū tē it tōa.	白話字書-地理教科書			
168	波多利哥屬美國管理。	Pho-to-lī-ko sio̍k Bí-kok kuán-lí.	Pho-to-lī-ko sio̍k Tāi Bí-kok koán-lí.	白話字書-地理教科書			
169	紐芬蘭屬佇大英國管理。	Lí-hun-lân sio̍k tī Tāi Ing-kok kuán-lí.	Giû-hun-tek-lân sio̍k tī Tāi Eng-kok koán-lí.	白話字書-地理教科書			
170	台灣自1945年第二次世界大戰結束後。		Tâi-oân chū 1945 nî Tē-jī-chhù Sè-kài Tāi-chiàn kiat-sok āu.	民報-臺語世界			
171	到今予中國國民黨政府統治。		kàu-taⁿ hō͘ Tiong-kok Kok-bîn-tóng chèng-hú thóng-tī. 	民報-臺語世界			
172	強制向人民灌輸洗腦教育。		kiông-chè hiòng jîn-bîn koàn-su sé-náu kàu-io̍k.	民報-臺語世界			
173	共教育變成政治工具是國民黨政府統治台灣上夭壽的政策。		Kā kàu-io̍k piàn-sêng chèng-tī kang-kū sī Kok-bîn-tóng chèng-hú thóng-tī Tâi-oân siōng iáu-siū ê chèng-chhek.	民報-臺語世界			
174	彼當時實施黨化教育。		Hit-tong-sî si̍t-si tóng-hòa kàu-io̍k.	民報-臺語世界			
175	灌輸台灣大中國思想。		koàn-su Tâi-oân tōa Tiong-kok su-sióng.	民報-臺語世界			
176	佇權威時代統治者共烏講做白無人敢質疑。		Tī khoân-ui sî-tāi thóng-tī-chiá kā o͘ kóng-chò pe̍h bô lâng káⁿ chit-gî.	民報-臺語世界			
177	1683年到1895年是台灣清治時期。		1683 nî kàu 1895 nî sī Tâi-oân Chheng-tī sî-kî.	民報-臺語世界			
178	所以來台灣的漢民族大多數是男性。		Só͘-í lâi Tâi-oân ê Hàn bîn-cho̍k tōa-to-sò͘ sī lâm-sèng.	民報-臺語世界			
179	1721年佇嘉義大埔的庄頭。		1721 nî tī Ka-gī Tōa-po͘ ê chng-thâu.	民報-臺語世界			
180	就有一寡漢民族的男性娶台灣平埔族查某囡仔做牽手。		 tō ū chi̍t-kóa Hàn bîn-cho̍k ê lâm-sèng chhōa Tâi-oân Pêⁿ-po͘-cho̍k chǎ-gín-á chò khan-chhiú. 	民報-臺語世界			
181	台灣人敢攏是炎黃囝孫？		Tâi-oân-lâng kám lóng sī Iām-hông kiáⁿ-sun?	民報-臺語世界			
182	發現台灣人88％有透著平埔族血統。		Hoat-hiān Tâi-oân-lâng 88% ū thàu-tio̍h Pêⁿ-po͘-cho̍k hiat-thóng. 	民報-臺語世界			
183	有唐山公，無唐山媽。		ū Tn̂g-soaⁿ-kong, bô Tn̂g-soaⁿ-má.	民報-臺語世界			
184	台灣是四面環海的海島國家		Tâi-oân sī sì-bīn khôan-hái ê hái-tó kok-ka.	民報-臺語世界			
185	平均降雨量是全球的2.5倍。		pêng-kun kàng-hō͘-liōng sī choân-kiû ê 2.5 pōe.	民報-臺語世界			
186	咱地球的水資源是有限的。		Lán tē-kiû ê chúi chu-goân sī iú-hān ê.	民報-臺語世界			
187	才有法度面對氣候變遷所引起的欠水威脅佮挑戰。		chiah ū-hoat-tō͘ bīn-tùi khì-hāu piàn-chhian só͘ ín-khí ê khiàm-chúi ui-hia̍p kap thiau-chiàn.	民報-臺語世界			
188	予我閣再想起「南海血書」。		 hō͘ góa koh-chài siūⁿ-khí “Lâm-hái hiat-su.	民報-臺語世界			
189	教育台灣人講共產黨有偌可惡。		kàu-io̍k Tâi-oân-lâng kóng Kiōng-sán-tóng ū gōa khó-ò͘.	民報-臺語世界			
190	彼陣的政治佮資訊的環境和這馬袂當比。		Hit-chūn ê chèng-tī kap chu-sìn ê khoân-kéng hām chit-má bē-tàng pí.	民報-臺語世界			
191	民主自由是世界的潮流。		Bîn-chú chū-iû sī sè-kài ê tiâu-liû.	民報-臺語世界			
192	嘛是上蓋適合人的生活制度。		mā-sī siōng-kài sek-ha̍p lâng ê seng-oa̍h chè-tō͘.	民報-臺語世界			
193	今仔日若無做為自由奮鬥的鬥士，明仔載就會淪為漂流海上的難民。		kin-á-ji̍t nā bô chò ūi chū-iû hùn-tàu ê tàu-sū, bîn-á-chài tō ē lûn-ûi phiau-liû hái-siōng ê lān-bîn.	民報-臺語世界			
194	聯合國教科文組織佇1999年正式宣佈逐冬2月21是世界母語日。		Liân-ha̍p-kok Kàu-kho-bûn Cho͘-chit tī 1999 nî chèng-sek soan-pò͘ ta̍k tang 2 goe̍h 21 sī Sè-kài Bó-gí-ji̍t. 	民報-臺語世界			
195	主張語言多樣性的珍貴資產佮重要性。		 Chú-tiuⁿ gí-giân to-iūⁿ-sèng ê tin-kùi chu-sán kap tiōng-iàu-sèng.	民報-臺語世界			
196	向望全球推捒語言保存。		Ǹg-bāng choân-kiû thui-sak gí-giân pó-chûn.	民報-臺語世界			
